Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Meret;Napoli;P;6.38;5.78;19.0;20
De Gea;Fiorentina;P;6.48;5.78;19.0;20
Milinkovic-Savic V.;Torino;P;6.41;5.68;18.0;22
Sommer;Inter;P;6.11;5.28;16.0;23
Maignan;Milan;P;6.23;5.25;15.0;22
Stankovic F.;Venezia;P;6.6;5.23;15.0;15
Carnesecchi;Atalanta;P;6.36;5.17;14.0;21
Leali;Genoa;P;6.19;5.16;14.0;16
Di Gregorio;Juventus;P;6.16;5.21;14.0;19
Turati;Monza;P;6.32;5.0;13.0;20
Skorupski;Bologna;P;6.13;4.97;12.0;15
Svilar;Roma;P;6.22;4.93;12.0;23
Vasquez D.;Empoli;P;6.05;4.77;11.0;22
Provedel;Lazio;P;5.96;4.61;10.0;23
Falcone;Lecce;P;6.3;4.63;10.0;23
Caprile;Cagliari;P;6.38;5.5;10.0;8
Reina;Como;P;6.0;4.8;8.0;10
Suzuki;Parma;P;6.11;4.39;8.0;22
Sava;Udinese;P;6.0;4.28;7.0;9
Ravaglia F.;Bologna;P;6.0;5.0;6.0;7
Okoye;Udinese;P;6.07;4.39;6.0;14
Perin;Juventus;P;6.1;5.5;5.0;5
Montipo';Verona;P;6.25;4.02;5.0;22
Musso;Atalanta;P;6.0;6.0;;1
Sherri;Cagliari;P;5.83;4.33;4.0;6
Pizzignacco;Monza;P;6.38;5.88;4.0;4
Butez;Como;P;5.9;4.3;4.0;5
Scuffet;Napoli;P;5.85;4.08;3.0;13
Radu I.;Venezia;P;0.0;0.0;3.0;0
Audero;Como;P;6.0;3.75;;8
Terracciano;Fiorentina;P;6.17;5.17;2.0;3
Gollini;Roma;P;5.86;4.07;2.0;7
Joronen;Venezia;P;5.5;3.38;2.0;8
Rui Patricio;Atalanta;P;6.0;5.0;2.0;1
Rossi F.;Atalanta;P;0.0;0.0;1.0;0
Bagnolini;Bologna;P;0.0;0.0;1.0;0
Radunovic;Cagliari;P;0.0;0.0;;0
Vigorito;Como;P;0.0;0.0;1.0;0
Chiorra;Empoli;P;0.0;0.0;;0
Perisan;Empoli;P;0.0;0.0;;0
Christensen O.;Fiorentina;P;0.0;0.0;;0
Martinelli T.;Fiorentina;P;0.0;0.0;1.0;0
Sommariva;Genoa;P;0.0;0.0;1.0;0
Di Gennaro;Inter;P;0.0;0.0;1.0;0
Martinez Jo.;Inter;P;0.0;0.0;1.0;0
Pinsoglio;Juventus;P;0.0;0.0;1.0;0
Furlanetto;Lazio;P;0.0;0.0;1.0;0
Mandas;Lazio;P;0.0;0.0;1.0;0
Fruchtl;Lecce;P;0.0;0.0;1.0;0
Samooja;Lecce;P;0.0;0.0;1.0;0
Nava;Milan;P;0.0;0.0;1.0;0
Sportiello;Milan;P;0.0;0.0;1.0;0
Cragno;Monza;P;0.0;0.0;;0
Sorrentino A.;Monza;P;0.0;0.0;;0
Contini;Napoli;P;0.0;0.0;1.0;0
Chichizola;Parma;P;5.0;2.0;;1
Corvi;Parma;P;0.0;0.0;1.0;0
Rinaldi;Parma;P;0.0;0.0;;0
Boer;Roma;P;0.0;0.0;;0
Ryan;Roma;P;0.0;0.0;;0
Paleari;Torino;P;6.5;3.5;1.0;1
Popa;Torino;P;0.0;0.0;;0
Padelli;Udinese;P;0.0;0.0;1.0;0
Bertinato;Venezia;P;0.0;0.0;;0
Grandi;Venezia;P;0.0;0.0;1.0;0
Berardi A.;Verona;P;0.0;0.0;1.0;0
Perilli;Verona;P;6.0;5.0;1.0;1
Brancolini;Empoli;P;0.0;0.0;1.0;0
Ciocci;Cagliari;P;0.0;0.0;1.0;0
Torriani;Milan;P;0.0;0.0;1.0;0
Donnarumma An.;Torino;P;0.0;0.0;1.0;0
Silvestri;Empoli;P;0.0;0.0;1.0;0
Mazza;Monza;P;0.0;0.0;1.0;0
Marin Re.;Roma;P;0.0;0.0;1.0;0
Plizzari;Venezia;P;0.0;0.0;;0
Seghetti;Empoli;P;6.5;3.5;1.0;1
Piana;Udinese;P;0.0;0.0;1.0;0
Selvik;Udinese;P;0.0;0.0;;0
Marcone;Parma;P;0.0;0.0;1.0;0
Stolz;Genoa;P;0.0;0.0;;0
Siegrist;Genoa;P;0.0;0.0;1.0;0
Dumfries;Inter;D;6.25;7.1;23.0;20
Dimarco;Inter;D;6.32;6.88;21.0;20
Di Lorenzo;Napoli;D;6.22;6.59;19.0;23
Bastoni;Inter;D;6.45;6.71;18.0;21
Zortea;Cagliari;D;6.0;6.7;17.0;20
Carlos Augusto;Inter;D;6.13;6.6;16.0;15
Tavares N.;Lazio;D;6.31;6.62;16.0;16
Gosens;Fiorentina;D;6.14;6.43;16.0;21
Zappacosta;Atalanta;D;6.03;6.47;15.0;17
Buongiorno;Napoli;D;6.43;6.6;15.0;15
Cambiaso;Juventus;D;6.18;6.38;14.0;20
Rrahmani;Napoli;D;6.22;6.35;14.0;23
Delprato;Parma;D;6.12;6.5;14.0;20
De Vrij;Inter;D;6.06;6.38;13.0;17
Darmian;Inter;D;6.15;6.44;13.0;17
Hernandez T.;Milan;D;5.95;6.26;13.0;19
Kyriakopoulos;Monza;D;5.98;6.32;13.0;20
Valeri;Parma;D;5.89;6.32;13.0;19
Mancini;Roma;D;6.13;6.22;13.0;23
Bellanova;Atalanta;D;6.09;6.32;13.0;22
Savona;Juventus;D;5.98;6.19;13.0;21
Ismajli;Empoli;D;6.2;6.17;12.0;23
Pezzella Giu.;Empoli;D;6.17;6.19;12.0;21
Dodo';Fiorentina;D;6.25;6.2;12.0;22
Gatti;Juventus;D;6.11;6.2;12.0;22
Angelino;Roma;D;6.09;6.24;12.0;23
Cacace;Empoli;D;5.83;6.27;11.0;15
Martin;Genoa;D;6.16;6.2;11.0;22
Dorgu;Lecce;D;5.83;6.12;;21
Gabbia;Milan;D;6.15;6.27;11.0;13
Kalulu;Juventus;D;6.14;6.25;11.0;18
Masina;Torino;D;5.97;6.19;11.0;18
Lazaro;Torino;D;6.1;6.28;11.0;20
Gigot;Lazio;D;6.2;7.2;11.0;5
Ruggeri;Atalanta;D;5.97;6.03;10.0;19
Beukema;Bologna;D;5.98;6.02;10.0;22
Lykogiannis;Bologna;D;6.2;6.5;10.0;10
Miranda J.;Bologna;D;6.09;6.24;10.0;17
Luperto;Cagliari;D;5.91;6.09;10.0;23
Viti;Empoli;D;6.1;6.08;10.0;20
Bisseck;Inter;D;5.97;6.13;10.0;15
Valenti;Parma;D;6.0;6.25;10.0;8
Bijol;Udinese;D;6.0;5.98;10.0;21
Kamara H.;Udinese;D;6.0;6.18;10.0;17
Walker;Milan;D;6.0;6.0;10.0;1
Obert;Cagliari;D;6.04;6.29;9.0;12
Gila;Lazio;D;6.03;5.95;9.0;19
Marusic;Lazio;D;5.91;6.24;9.0;17
Olivera;Napoli;D;6.08;6.02;9.0;20
Spinazzola;Napoli;D;6.12;6.42;9.0;12
Zemura;Udinese;D;5.82;6.06;9.0;17
Tchatchoua;Verona;D;5.81;6.02;9.0;21
Pavlovic;Milan;D;6.15;6.45;9.0;10
Hien;Atalanta;D;6.08;5.94;8.0;18
Holm;Bologna;D;6.06;6.39;8.0;9
Augello;Cagliari;D;5.86;5.95;8.0;22
Ranieri L.;Fiorentina;D;5.91;6.07;8.0;22
Vasquez;Genoa;D;5.95;5.95;8.0;22
Bremer;Juventus;D;6.5;6.42;8.0;6
N'Dicka;Roma;D;5.93;5.89;8.0;23
Coco;Torino;D;5.83;5.86;8.0;21
Perez N.;Udinese;D;6.25;6.25;;2
Idzes;Venezia;D;5.88;5.95;8.0;21
De Silvestri;Bologna;D;6.05;6.3;7.0;10
Zappa;Cagliari;D;5.67;5.87;7.0;23
Varane;Como;D;0.0;0.0;;0
Goglichidze;Empoli;D;5.85;5.8;7.0;20
Martinez Quarta;Fiorentina;D;5.86;6.21;;7
Parisi;Fiorentina;D;6.0;6.33;7.0;9
De Winter;Genoa;D;5.71;6.25;7.0;12
Sabelli;Genoa;D;5.84;5.84;7.0;19
Pavard;Inter;D;5.96;5.93;7.0;14
Danilo;Juventus;D;5.44;5.44;;8
Lazzari;Lazio;D;6.0;6.04;7.0;14
Hysaj;Lazio;D;6.12;6.62;7.0;4
Gaspar K.;Lecce;D;6.03;6.0;7.0;15
Tomori;Milan;D;5.85;5.8;7.0;10
Pereira P.;Monza;D;5.87;6.03;7.0;19
Birindelli;Monza;D;6.06;6.38;7.0;8
Smalling;Roma;D;0.0;0.0;;0
Ehizibue;Udinese;D;5.95;5.9;7.0;20
Kempf;Como;D;5.89;5.82;7.0;19
Maripan;Torino;D;5.96;6.12;7.0;13
Djimsiti;Atalanta;D;5.8;5.75;6.0;20
Hateboer;Atalanta;D;0.0;0.0;;0
Lucumi';Bologna;D;5.92;5.78;6.0;18
Mina;Cagliari;D;5.95;5.79;6.0;19
Dossena;Como;D;5.78;5.82;6.0;20
Comuzzo;Fiorentina;D;5.88;5.76;6.0;21
Vogliacco;Parma;D;5.68;5.96;6.0;14
Zanoli;Genoa;D;5.94;5.88;6.0;17
Acerbi;Inter;D;6.0;6.11;6.0;9
De Sciglio;Empoli;D;5.93;6.36;6.0;7
Gendrey;Lecce;D;5.25;5.25;;2
Gallo;Lecce;D;5.94;5.97;6.0;16
Balogh;Parma;D;5.79;5.76;6.0;19
Zampano;Venezia;D;5.78;5.9;6.0;20
Emerson Royal;Milan;D;5.62;5.47;6.0;17
Jimenez A.;Milan;D;6.14;6.0;6.0;7
Cuadrado;Atalanta;D;6.0;6.17;6.0;9
Kossounou;Atalanta;D;5.95;5.91;6.0;11
Solet;Udinese;D;6.25;6.25;6.0;4
Rensch;Roma;D;6.25;6.25;6.0;2
Kelly L.;Juventus;D;5.5;5.5;6.0;1
Kolasinac;Atalanta;D;6.0;5.78;5.0;16
Moreno Alb.;Como;D;5.91;5.79;5.0;17
Walukiewicz;Torino;D;5.81;5.69;5.0;16
Biraghi;Torino;D;5.75;6.17;5.0;6
Bani;Genoa;D;5.82;5.75;5.0;14
Rugani;Juventus;D;0.0;0.0;;0
Cabal;Juventus;D;6.33;6.25;5.0;6
Romagnoli;Lazio;D;5.76;5.68;5.0;19
Pellegrini Lu.;Lazio;D;6.0;5.91;5.0;11
Baschirotto;Lecce;D;5.74;5.7;5.0;23
Mari';Fiorentina;D;5.84;5.74;5.0;19
Juan Jesus;Napoli;D;5.81;5.88;5.0;8
Celik;Roma;D;5.68;5.68;5.0;19
Kabasele;Udinese;D;5.69;5.92;5.0;13
Svoboda;Venezia;D;5.69;5.84;5.0;16
Sverko;Venezia;D;5.77;5.88;5.0;13
Coppola D.;Verona;D;5.68;5.68;5.0;19
Palomino;Cagliari;D;5.75;6.06;5.0;8
Sosa B.;Torino;D;5.72;5.72;5.0;16
Sergi Roberto;Como;D;6.05;6.0;5.0;10
Jean;Lecce;D;5.77;5.77;5.0;11
Van Der Brempt;Como;D;5.96;5.92;5.0;13
Bakker;Atalanta;D;6.0;6.0;;1
Di Pardo;Cagliari;D;0.0;0.0;;0
Stojanovic;Empoli;D;0.0;0.0;;0
Thiaw;Milan;D;5.81;5.62;4.0;13
Izzo;Monza;D;5.62;5.45;4.0;20
Carboni A.;Monza;D;5.56;5.56;4.0;18
Natan;Napoli;D;0.0;0.0;;0
Vojvoda;Como;D;5.82;5.71;4.0;17
Kristensen T.;Udinese;D;5.59;5.45;4.0;11
Ferreira J.;Udinese;D;0.0;0.0;;0
Altare;Venezia;D;6.0;5.75;;12
Ghilardi;Verona;D;5.77;5.62;4.0;13
Erlic;Bologna;D;6.25;6.25;4.0;4
Haps;Venezia;D;5.7;5.6;4.0;15
Pedersen;Torino;D;5.65;5.56;4.0;17
Guilbert;Lecce;D;5.61;5.44;4.0;18
Hummels;Roma;D;6.0;5.72;4.0;9
Alberto Costa;Juventus;D;0.0;0.0;4.0;0
Nelsson;Roma;D;0.0;0.0;4.0;0
Posch;Atalanta;D;5.75;5.69;3.0;8
Goldaniga;Como;D;5.71;5.47;3.0;17
Pongracic;Fiorentina;D;5.88;5.62;3.0;4
Patric;Lazio;D;5.62;5.88;3.0;8
Calabria;Bologna;D;5.9;5.9;3.0;5
D'Ambrosio;Monza;D;5.64;5.45;3.0;11
Coulibaly W.;Parma;D;5.54;5.36;;14
Ebosele;Udinese;D;0.0;0.0;;0
Magnani;Verona;D;5.29;5.43;;14
Ceccherini;Verona;D;0.0;0.0;;0
Abankwah;Udinese;D;6.25;6.0;;2
Abdulhamid;Roma;D;5.67;6.0;3.0;3
Bradaric;Verona;D;5.47;5.33;3.0;15
Daniliuc;Verona;D;5.46;5.46;3.0;12
Toure' I.s.;Udinese;D;5.59;5.41;3.0;11
Valle;Como;D;5.75;5.5;3.0;2
Scalvini;Atalanta;D;5.5;5.25;2.0;4
Toloi;Atalanta;D;5.5;5.5;2.0;3
Godfrey;Atalanta;D;6.0;6.0;;1
Wieteska;Cagliari;D;5.6;5.5;;5
Hatzidiakos;Cagliari;D;0.0;0.0;;0
Azzi;Cagliari;D;6.0;5.83;;6
Barba;Como;D;5.42;5.42;;6
Marcandalli;Venezia;D;5.5;5.5;2.0;1
Matturro;Genoa;D;5.62;5.56;2.0;8
Terracciano F.;Milan;D;5.71;5.57;2.0;7
Bettella;Monza;D;0.0;0.0;;0
Caldirola;Monza;D;5.71;5.64;2.0;7
Mazzocchi;Napoli;D;5.71;5.64;2.0;7
Kumbulla;Roma;D;0.0;0.0;;0
Dahl;Roma;D;6.0;6.0;;2
Giannetti L.;Udinese;D;5.68;5.41;2.0;11
Candela;Venezia;D;5.46;5.25;;14
Dawidowicz;Verona;D;5.31;5.04;2.0;13
Faraoni;Verona;D;5.5;5.5;2.0;4
Esteves G.;Udinese;D;0.0;0.0;;0
Marianucci;Empoli;D;5.5;5.5;2.0;2
Leoni;Parma;D;5.5;5.5;2.0;5
Carboni F.;Venezia;D;5.83;5.67;2.0;3
Palacios T.;Monza;D;5.5;5.5;2.0;1
Bartesaghi;Milan;D;5.0;4.5;2.0;2
Hermoso;Roma;D;5.12;4.88;;4
Ahanor;Genoa;D;6.0;6.0;2.0;2
Valentini N.;Verona;D;0.0;0.0;2.0;0
Lovik;Parma;D;5.5;5.5;2.0;1
Otoa;Genoa;D;0.0;0.0;2.0;0
Cand̬;Venezia;D;5.5;5.5;2.0;2
Oyegoke;Verona;D;0.0;0.0;2.0;0
Veiga D.;Lecce;D;0.0;0.0;2.0;0
Brorsson;Monza;D;0.0;0.0;2.0;0
Smolcic I.;Como;D;6.0;6.0;2.0;1
Provstgaard;Lazio;D;0.0;0.0;2.0;0
Salah-Eddine;Roma;D;0.0;0.0;2.0;0
Ilic M.;Bologna;D;0.0;0.0;;0
Corazza;Bologna;D;0.0;0.0;;0
Veroli;Cagliari;D;0.0;0.0;;0
Iovine;Como;D;5.64;5.5;1.0;7
Kovacik;Como;D;0.0;0.0;;0
Sala M.;Lecce;D;5.5;5.25;1.0;4
Cassandro;Como;D;0.0;0.0;;0
Ebuehi;Empoli;D;0.0;0.0;1.0;0
Lucchesi;Venezia;D;0.0;0.0;;0
Kayode;Fiorentina;D;5.5;5.5;;2
Djalo';Juventus;D;0.0;0.0;;0
Casale;Bologna;D;5.57;5.29;1.0;7
Marin R.;Napoli;D;0.0;0.0;1.0;0
Mario Rui;Napoli;D;0.0;0.0;;0
Circati;Parma;D;5.75;5.62;1.0;4
Osorio;Parma;D;5.17;5.17;1.0;3
Di Chiara;Parma;D;0.0;0.0;;0
Sangare' B.;Roma;D;0.0;0.0;1.0;0
Sazonov;Empoli;D;5.0;5.0;1.0;1
Schuurs;Torino;D;0.0;0.0;1.0;0
Ebosse;Udinese;D;5.5;5.25;;2
Okou;Verona;D;0.0;0.0;1.0;0
Frese;Verona;D;5.7;5.7;1.0;5
Sagrado;Venezia;D;5.5;5.33;1.0;3
Rouhi;Juventus;D;5.5;5.5;1.0;3
Pelmard;Lecce;D;5.75;5.5;;2
Norton-Cuffy;Genoa;D;5.5;5.5;1.0;3
Dellavalle;Torino;D;0.0;0.0;;0
Dembele' A.;Torino;D;5.5;5.25;1.0;4
Palestra;Atalanta;D;0.0;0.0;1.0;0
Schingtienne;Venezia;D;4.75;4.5;1.0;2
Moreno M.;Fiorentina;D;5.0;5.0;1.0;1
Bonifazi;Lecce;D;5.25;5.25;;2
Sambia;Empoli;D;6.0;6.0;1.0;1
Florenzi;Milan;D;0.0;0.0;1.0;0
Jack;Como;D;0.0;0.0;1.0;0
Lekovic;Monza;D;4.75;3.75;1.0;2
Tiago Gabriel;Lecce;D;0.0;0.0;1.0;0
Slotsager;Verona;D;0.0;0.0;1.0;0
Scott;Lecce;D;0.0;0.0;1.0;0
Pulisic;Milan;C;6.44;7.61;30.0;18
Orsolini;Bologna;C;6.44;7.94;27.0;16
Zaccagni;Lazio;C;6.35;7.48;27.0;20
Reijnders;Milan;C;6.38;7.38;26.0;21
Barella;Inter;C;6.4;7.08;25.0;20
Zambo Anguissa;Napoli;C;6.52;7.24;24.0;23
McTominay;Napoli;C;6.38;7.12;24.0;20
Neres;Napoli;C;6.47;7.0;23.0;19
Paz N.;Como;C;6.36;7.0;21.0;21
Ndoye;Bologna;C;6.35;6.94;20.0;17
Strefezza;Como;C;6.26;6.72;20.0;23
Frattesi;Inter;C;6.13;7.0;20.0;15
Man;Parma;C;6.05;6.76;20.0;21
Calhanoglu;Inter;C;6.32;7.04;19.0;14
Thuram K.;Juventus;C;6.38;6.82;19.0;20
Adli;Fiorentina;C;6.16;6.76;19.0;19
